Epoca;Idade;Altura;Minutos;"Ser Transferido";"Valor de Mercado";Posicao
2019;23;1.85;2531;1;0.6;DEF
2016;21;1.81;0;0;0.8;MED
2017;22;1.81;0;1;1;MED
2018;23;1.81;2328;1;1;MED
2019;24;1.81;2774;0;0.8;MED
2016;24;1.81;1293;0;2.5;MED
2017;25;1.81;163;0;1.5;MED
2018;26;1.81;1905;0;8;MED
2019;27;1.81;1836;0;9;MED
2016;21;1.81;35;0;1;MED
2017;22;1.81;0;1;1;MED
2018;23;1.81;1319;0;1;MED
2019;24;1.81;971;0;0.6;MED
2016;21;1.77;0;0;0.5;MED
2017;22;1.77;0;1;0.75;MED
2018;23;1.77;367;0;0.2;MED
2019;24;1.77;0;1;0.1;MED
2016;21;1.84;769;0;2;ATA
2017;22;1.84;3399;1;22;ATA
2018;23;1.84;1965;1;22;ATA
2019;24;1.84;2839;0;22;ATA
2017;21;1.85;0;0;0.5;GK
2018;22;1.85;1170;0;0.3;GK
2019;23;1.85;3109;1;0.3;GK
2017;20;1.83;85;0;0.65;DEF
2018;21;1.83;1555;0;0.7;DEF
2019;22;1.83;0;1;0.1;DEF
2017;19;1.82;236;0;1.25;ATA
2018;20;1.82;587;0;0.8;ATA
2019;21;1.82;1017;0;0.25;ATA
2018;21;1.93;1130;0;1;DEF
2019;22;1.93;1911;0;1;DEF
2018;21;1.8;0;0;0.6;DEF
2019;22;1.8;1381;0;0.3;DEF
2018;19;1.83;588;1;15;DEF
2019;20;1.83;1695;0;20;DEF
2018;22;1.72;0;0;1.25;MED
2019;23;1.72;344;1;0.3;MED
2018;21;1.74;90;0;1.25;MED
2019;22;1.74;99;1;1;MED
2018;23;1.88;910;0;1;ATA
2019;24;1.88;1023;0;2.5;ATA
2019;20;1.86;0;0;4;GK
2019;20;1.88;540;0;5;DEF
2019;26;1.84;1903;1;2;MED
2015;21;1.91;0;0;1.5;GK
2015;21;1.87;1;0;1;DEF
2015;18;1.76;0;0;0.8;MED
2015;21;1.78;3;0;0.3;MED
2015;19;1.79;219;0;1.5;ATA
2015;21;1.79;139;0;1.5;ATA
2015;24;1.85;425;0;4;ATA
2016;22;1.91;90;1;0.8;GK
2016;22;1.87;2011;0;8;DEF
2016;19;1.76;2695;1;20;MED
2016;22;1.78;227;0;1;MED
2016;20;1.79;1688;1;7;ATA
2016;22;1.79;1609;1;2.5;ATA
2016;25;1.85;2078;1;4;ATA
2016;23;1.88;1971;0;7;GK
2016;19;1.87;0;0;0.35;DEF
2016;23;1.77;1446;0;3.75;DEF
2016;21;1.77;1046;1;1.5;MED
2016;21;1.76;108;0;0.75;MED
2016;22;1.74;284;1;0.1;ATA
2016;20;1.77;0;0;0.4;ATA
2017;23;1.91;2655;1;2.5;GK
2017;23;1.87;4090;1;22;DEF
2017;20;1.76;903;1;22;MED
2017;23;1.78;1005;0;0.75;MED
2017;21;1.79;2283;0;17;ATA
2017;23;1.79;2953;0;10;ATA
2017;26;1.85;1738;0;5;ATA
2017;24;1.88;3552;1;22;GK
2017;20;1.87;0;0;1;DEF
2017;24;1.77;4217;1;20;DEF
2017;22;1.77;908;0;0.6;MED
2017;22;1.76;2080;1;1;MED
2017;23;1.74;2257;0;0.5;ATA
2017;20;1.75;180;0;0.3;DEF
2017;19;1.85;876;0;2;DEF
2017;21;1.75;971;0;2;MED
2017;21;1.77;1651;1;0.75;ATA
2017;18;1.78;118;0;1;ATA
2017;20;1.72;1145;0;1;MED
2018;24;1.91;3143;0;8;GK
2018;24;1.87;2361;0;25;DEF
2018;21;1.76;943;0;20;MED
2018;24;1.78;2154;1;0.9;MED
2018;22;1.79;2727;1;40;ATA
2018;24;1.79;1994;0;10;ATA
2018;27;1.85;2696;0;5;ATA
2018;25;1.88;4005;0;50;GK
2018;21;1.87;2691;0;22;DEF
2018;25;1.77;2494;0;30;DEF
2018;23;1.77;375;0;0.5;MED
2018;23;1.76;949;0;0.9;MED
2018;24;1.74;1619;1;0.6;ATA
2018;21;1.75;2554;0;3;DEF
2018;20;1.85;381;0;2;DEF
2018;22;1.75;1856;1;6;MED
2018;22;1.77;1251;1;0.75;ATA
2018;19;1.78;0;0;0.55;ATA
2018;20;1.87;0;0;0.075;GK
2018;21;1.72;357;1;2.5;MED
2018;21;1.78;618;0;2.5;ATA
2019;25;1.91;0;1;3;GK
2019;25;1.87;3502;0;35;DEF
2019;22;1.76;782;1;18;MED
2019;25;1.78;389;0;0.5;MED
2019;23;1.79;2471;0;40;ATA
2019;25;1.79;1529;0;15;ATA
2019;28;1.85;916;1;3.5;ATA
2019;26;1.88;4980;0;70;GK
2019;22;1.87;4923;0;32;DEF
2019;26;1.77;2886;0;40;DEF
2019;24;1.77;795;1;0.3;MED
2019;24;1.76;594;0;1;MED
2019;25;1.74;1532;1;0.15;ATA
2019;22;1.75;585;1;1.5;DEF
2019;21;1.85;1436;0;2;DEF
2019;23;1.75;569;1;4.5;MED
2019;23;1.77;1888;0;0.6;ATA
2019;20;1.78;0;0;0.4;ATA
2019;21;1.87;0;0;0.175;GK
2019;22;1.72;2731;0;8;MED
2019;22;1.78;446;0;2;ATA
2019;22;1.91;0;0;1;GK
2019;22;1.92;1586;0;15;DEF
2019;22;1.9;737;1;2;MED
2019;20;1.84;1511;0;15;MED
2019;20;1.84;2757;0;20;MED
2019;20;1.75;93;0;10;ATA
2019;20;1.8;2866;1;70;ATA
